"NSIM","DOWNT","pct_downtime","repairs"
1,88.4,0.03536,3
2,86.3,0.03452,3
3,110.8,0.04432,4
4,75.9,0.03036,3
5,160.2,0.06408,7
6,187.7,0.07508,7
7,52.6,0.02104,2
8,113.2,0.04528,5
9,115.3,0.04612,5
10,68.7,0.02748,3
11,75.9,0.03036,3
12,79.4,0.03176,3
13,94.1,0.03764,4
14,58.4,0.02336,2
15,122.3,0.04892,5
16,128.2,0.05128,5
17,183.1,0.07324,7
18,80.2,0.03208,3
19,130.3,0.05212,5
20,160.8,0.06432,7
21,136.8,0.05472,6
22,47.1,0.01884,2
23,85.6,0.03424,3
24,172.1,0.06884,8
25,136.2,0.05448,6
26,84.4,0.03376,4
27,53.3,0.02132,2
28,164.6,0.06584,6
29,125.7,0.05028,5
30,135.9,0.05436,5
31,130.6,0.05224,5
32,97.3,0.03892,4
33,129.3,0.05172,5
34,93.4,0.03736,4
35,124.6,0.04984,5
36,183.5,0.0734,7
37,108.4,0.04336,4
38,74.4,0.02976,3
39,167,0.0668,6
40,20.5,0.0082,1
41,47.6,0.01904,2
42,79.2,0.03168,3
43,131.9,0.05276,5
44,166.9,0.06676,6
45,82.2,0.03288,3
46,145.5,0.0582,6
47,100.9,0.04036,4
48,80.2,0.03208,3
49,129,0.0516,5
50,125.3,0.05012,5
51,74.6,0.02984,3
52,134.2,0.05368,5
53,77.4,0.03096,3
54,197.6,0.07904,8
55,154.6,0.06184,7
56,130.1,0.05204,5
57,205.8,0.08232,8
58,54.9,0.02196,2
59,128.3,0.05132,5
60,53.5,0.0214,2
61,103.9,0.04156,5
62,146.2,0.05848,6
63,127.9,0.05116,6
64,173.8,0.06952,6
65,153.9,0.06156,6
66,115.2,0.04608,5
67,81.1,0.03244,3
68,59.8,0.02392,2
69,99.5,0.0398,4
70,78.2,0.03128,3
71,161.8,0.06472,6
72,49,0.0196,2
73,128,0.0512,5
74,151,0.0604,6
75,86.8,0.03472,4
76,78.5,0.0314,3
77,179.8,0.07192,7
78,99.2,0.03968,4
79,42.2,0.01688,2
80,64.2,0.02568,2
81,144.5,0.0578,6
82,183.3,0.07332,7
83,159.8,0.06392,6
84,131,0.0524,5
85,81.7,0.03268,3
86,142,0.0568,6
87,52,0.0208,2
88,35.6,0.01424,2
89,150.8,0.06032,5
90,101.1,0.04044,4
91,139.5,0.0558,6
92,101.3,0.04052,4
93,134.9,0.05396,5
94,105,0.042,4
95,28.4,0.01136,1
96,46.2,0.01848,2
97,97.4,0.03896,4
98,31.1,0.01244,1
99,83.1,0.03324,3
100,136.1,0.05444,5
