"NSIM","round.DOWNT..1.","repairs"
1,88.4,3
2,86.3,3
3,110.8,4
4,75.9,3
5,160.2,7
6,187.7,7
7,52.6,2
8,113.2,5
9,115.3,5
10,68.7,3
11,75.9,3
12,79.4,3
13,94.1,4
14,58.4,2
15,122.3,5
16,128.2,5
17,183.1,7
18,80.2,3
19,130.3,5
20,160.8,7
21,136.8,6
22,47.1,2
23,85.6,3
24,172.1,8
25,136.2,6
26,84.4,4
27,53.3,2
28,164.6,6
29,125.7,5
30,135.9,5
31,130.6,5
32,97.3,4
33,129.3,5
34,93.4,4
35,124.6,5
36,183.5,7
37,108.4,4
38,74.4,3
39,167,6
40,20.5,1
41,47.6,2
42,79.2,3
43,131.9,5
44,166.9,6
45,82.2,3
46,145.5,6
47,100.9,4
48,80.2,3
49,129,5
50,125.3,5
51,74.6,3
52,134.2,5
53,77.4,3
54,197.6,8
55,154.6,7
56,130.1,5
57,205.8,8
58,54.9,2
59,128.3,5
60,53.5,2
61,103.9,5
62,146.2,6
63,127.9,6
64,173.8,6
65,153.9,6
66,115.2,5
67,81.1,3
68,59.8,2
69,99.5,4
70,78.2,3
71,161.8,6
72,49,2
73,128,5
74,151,6
75,86.8,4
76,78.5,3
77,179.8,7
78,99.2,4
79,42.2,2
80,64.2,2
81,144.5,6
82,183.3,7
83,159.8,6
84,131,5
85,81.7,3
86,142,6
87,52,2
88,35.6,2
89,150.8,5
90,101.1,4
91,139.5,6
92,101.3,4
93,134.9,5
94,105,4
95,28.4,1
96,46.2,2
97,97.4,4
98,31.1,1
99,83.1,3
100,136.1,5
